"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

0.280,0.010,-4.640110,-46.143772,2.369540,1.603766,-1.934751,4.000000,130.735275,13.298950,5395.200195,6.600000,3.140000,35.799999,856.000000,889.000000,0.507000,0.020000,0.009000,0.009000,0.009000,0.009000,0.039000,1.579800,0.042000,127.199997,123.199997,119.400002,125.000000,13.200000,82.580002,181.579987,68.000000,68.000000,24.444744,9.200000,-0.537263,0.184186,-0.863815,-77.821007,-23.586702,291.000000,1.480000,290.051422,15.180185,1.393198,40.742500,24.170954,0.000000,4.170828,125.199997,0.023268,42.068636097055,-84.237075839288,291.29
0.290,0.010,-6.471153,-46.143772,2.739192,1.662625,-2.387332,4.000000,130.735275,13.298950,5395.600098,6.600000,3.140000,35.799999,856.000000,890.000000,0.507000,0.019500,0.009000,0.009000,0.009000,0.009000,0.039000,1.582400,0.042000,127.599998,123.599998,119.699997,125.000000,13.200000,82.580002,181.579987,68.000000,68.000000,24.494453,9.100000,-0.540131,0.181000,-0.861523,-78.146446,-23.641706,291.000000,1.480000,290.407440,15.211056,1.393198,40.840000,24.200623,0.000000,4.134916,125.599998,0.023309,42.068636408421,-84.237077088173,291.29
0.300,0.011,-5.250458,-47.364468,3.074593,1.494082,-2.410671,4.000000,130.735275,13.298950,5396.000000,6.600000,3.140000,35.799999,856.000000,891.000000,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.585000,0.042000,128.000000,124.000000,120.000000,125.000000,13.200000,82.580002,181.579987,68.000000,68.000000,24.544163,9.000000,-0.542999,0.177813,-0.859231,-78.471886,-23.696711,291.000000,1.480000,290.763489,15.241925,1.393198,40.937500,24.230293,0.000000,4.099004,126.000000,0.023351,42.068636719787,-84.237078337059,291.29
0.310,0.011,-3.419414,-46.754120,3.077179,1.358544,-1.885250,4.000000,130.735275,13.298950,5398.600098,6.580000,3.138000,35.820000,856.000000,890.400024,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.590100,0.042000,128.100006,122.199997,120.400002,125.300003,13.200000,82.580002,181.579987,68.000000,68.000000,24.569017,9.000000,-0.546759,0.173288,-0.855220,-78.805344,-23.797552,291.000000,1.480000,291.594238,15.257360,1.393198,41.128750,24.299522,0.000000,3.693097,125.150002,0.023124,42.068637031154,-84.237079585945,291.29
0.320,0.011,-5.860806,-49.195511,2.848407,1.428607,-1.406906,4.000000,130.735275,13.298950,5401.200195,6.560000,3.136000,35.840000,856.000000,889.799988,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.595200,0.042000,128.199997,120.400002,120.800003,125.599998,13.200000,82.580002,181.579987,68.000000,68.000000,24.593872,9.000000,-0.550519,0.168763,-0.851210,-79.138809,-23.898392,291.000000,1.480000,292.424988,15.272795,1.393198,41.320000,24.368752,0.000000,3.287191,124.300003,0.022898,42.068637324581,-84.237080851663,291.29
0.330,0.012,-4.640110,-47.974815,2.674281,1.539737,-1.482009,4.000000,130.735275,13.298950,5403.799805,6.540000,3.134000,35.860001,856.000000,889.200012,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.600300,0.042000,128.300003,118.599998,121.199997,125.900002,13.200000,82.580002,181.579987,68.000000,68.000000,24.618729,9.000000,-0.554279,0.164238,-0.847199,-79.472275,-23.999233,291.000000,1.480000,293.255737,15.288230,1.393198,41.511250,24.437983,0.000000,2.881284,123.449997,0.022672,42.068637591101,-84.237082142630,291.28
0.340,0.012,0.242674,-42.481686,2.677482,1.487819,-1.940845,4.000000,130.735275,13.298950,5406.399902,6.520000,3.132000,35.880001,856.000000,888.599976,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.605400,0.042000,128.399994,116.800003,121.599998,126.199997,13.200000,82.580002,181.579987,68.000000,68.000000,24.643583,9.000000,-0.558040,0.159713,-0.843188,-79.805733,-24.100073,291.000000,1.480000,294.086487,15.303665,1.393198,41.702499,24.507212,0.000000,2.475377,122.599998,0.022445,42.068637857621,-84.237083433597,291.28
0.350,0.012,-0.978022,-41.260990,2.751555,1.347370,-2.290537,4.000000,130.735275,13.298950,5409.000000,6.500000,3.130000,35.900002,856.000000,888.000000,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.610500,0.042000,128.500000,115.000000,122.000000,126.500000,13.200000,82.580002,181.579987,68.000000,68.000000,24.668438,9.000000,-0.561800,0.155188,-0.839177,-80.139191,-24.200914,291.000000,1.480000,294.917236,15.319099,1.393198,41.893753,24.576441,0.000000,2.069470,121.750000,0.022219,42.068638124141,-84.237084724564,291.28
0.360,0.013,-5.250458,-40.040291,2.725473,1.326656,-2.225190,4.000000,130.735275,13.298950,5441.600098,6.500000,3.132000,36.200001,856.000000,889.200012,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.615600,0.042000,128.600006,113.199997,122.400002,126.800003,13.200000,82.580002,181.579987,68.000000,68.000000,24.693293,9.000000,-0.565560,0.150663,-0.835167,-80.472656,-24.301756,291.000000,1.480000,295.748016,15.334535,1.393198,42.085003,24.645670,0.000000,1.663563,120.900002,0.021993,42.068638390661,-84.237086015531,291.28
0.370,0.013,-5.860806,-43.092033,2.578262,1.443519,-1.803632,4.000000,130.735275,13.298950,5474.200195,6.500000,3.134000,36.500000,856.000000,890.400024,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.620700,0.042000,128.699997,111.400002,122.800003,127.099998,13.200000,82.580002,181.579987,68.000000,68.000000,24.718147,9.000000,-0.569320,0.146138,-0.831156,-80.806122,-24.402596,291.000000,1.480000,296.578766,15.349970,1.393198,42.276253,24.714899,0.000000,1.257656,120.050003,0.021766,42.068638657181,-84.237087306499,291.28
0.380,0.014,-5.860806,-49.195511,2.472914,1.508215,-1.422576,4.000000,130.735275,13.298950,5506.799805,6.500000,3.136000,36.800003,856.000000,891.599976,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.625800,0.042000,128.800003,109.599998,123.199997,127.400002,13.200000,82.580002,181.579987,68.000000,68.000000,24.743004,9.000000,-0.573080,0.141613,-0.827145,-81.139580,-24.503437,291.000000,1.480000,297.409515,15.365405,1.393198,42.467503,24.784130,0.000000,0.851750,119.199997,0.021540,42.068638923701,-84.237088597466,291.28
0.390,0.014,-5.860806,-51.636906,2.507468,1.416988,-1.428920,4.000000,130.735275,13.298950,5539.399902,6.500000,3.138000,37.100002,856.000000,892.799988,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.630900,0.042000,128.899994,107.800003,123.599998,127.699997,13.200000,82.580002,181.579987,68.000000,68.000000,24.767859,9.000000,-0.576841,0.137088,-0.823135,-81.473038,-24.604277,291.000000,1.480000,298.240265,15.380839,1.393198,42.658752,24.853359,0.000000,0.445843,118.349998,0.021314,42.068639190221,-84.237089888433,291.27
0.400,0.014,-3.419414,-49.805862,2.593830,1.296199,-1.759784,4.000000,130.735275,13.298950,5572.000000,6.500000,3.140000,37.400002,856.000000,894.000000,0.507000,0.019000,0.009000,0.009000,0.009000,0.009000,0.039000,1.636000,0.042000,129.000000,106.000000,124.000000,128.000000,13.200000,82.580002,181.579987,68.000000,68.000000,24.792713,9.000000,-0.580601,0.132563,-0.819124,-81.806503,-24.705118,291.000000,1.480000,299.071014,15.396275,1.393198,42.850002,24.922588,0.000000,0.039936,117.500000,0.021088,42.068639456741,-84.237091179400,291.27
0.410,0.015,-2.198718,-48.585163,2.683376,1.270718,-2.121979,4.000000,130.735275,13.298950,5572.000000,6.500000,3.138000,37.400002,856.000000,893.799988,0.507000,0.018800,0.009000,0.009000,0.009000,0.009000,0.039000,1.639900,0.042000,129.100006,108.199997,124.300003,128.199997,13.200000,82.580002,181.579987,68.000000,68.000000,24.829994,9.000000,-0.584998,0.126891,-0.813394,-82.145691,-24.849503,291.000000,1.480000,299.664398,15.419427,1.393198,42.996254,24.972038,0.000000,-0.114982,118.650002,0.021271,42.068639723261,-84.237092470367,291.27
0.420,0.015,2.684066,-43.702381,2.806536,1.286591,-2.244276,4.000000,130.735275,13.298950,5572.000000,6.500000,3.136000,37.400002,856.000000,893.599976,0.507000,0.018600,0.009000,0.009000,0.009000,0.009000,0.039000,1.643800,0.042000,129.199997,110.400002,124.599998,128.399994,13.200000,82.580002,181.579987,68.000000,68.000000,24.867277,9.000000,-0.589396,0.121219,-0.807665,-82.484886,-24.993889,291.000000,1.480000,300.257813,15.442579,1.393198,43.142502,25.021486,0.000000,-0.269900,119.800003,0.021455,42.068639989781,-84.237093761334,291.27
0.430,0.015,3.294414,-33.936813,2.868098,1.295263,-1.983001,4.000000,130.735275,13.298950,5572.000000,6.500000,3.134000,37.400002,856.000000,893.400024,0.507000,0.018400,0.009000,0.009000,0.009000,0.009000,0.039000,1.647700,0.042000,129.300003,112.599998,124.900002,128.600006,13.200000,82.580002,181.579987,68.000000,68.000000,24.904560,9.000000,-0.593793,0.115547,-0.801935,-82.824081,-25.138275,291.000000,1.480000,300.851196,15.465731,1.393198,43.288754,25.070936,0.000000,-0.424819,120.949997,0.021639,42.068640256301,-84.237095052301,291.27
0.440,0.016,-4.640110,-37.598900,2.779502,1.361394,-1.534988,4.000000,130.735275,13.298950,5572.000000,6.500000,3.132000,37.400002,856.000000,893.200012,0.507000,0.018200,0.009000,0.009000,0.009000,0.009000,0.039000,1.651600,0.042000,129.399994,114.800003,125.199997,128.800003,13.200000,82.580002,181.579987,68.000000,68.000000,24.941841,9.000000,-0.598191,0.109875,-0.796206,-83.163269,-25.282660,291.000000,1.480000,301.444611,15.488883,1.393198,43.435001,25.120386,0.000000,-0.579737,122.099998,0.021823,42.068640522821,-84.237096343268,291.27
0.450,0.016,-7.691850,-47.974815,2.631361,1.451188,-1.318173,4.000000,130.735275,13.298950,5572.000000,6.500000,3.130000,37.400002,856.000000,893.000000,0.507000,0.018000,0.009000,0.009000,0.009000,0.009000,0.039000,1.655500,0.042000,129.500000,117.000000,125.500000,129.000000,13.200000,82.580002,181.579987,68.000000,68.000000,24.979122,9.000000,-0.602588,0.104202,-0.790476,-83.502457,-25.427044,291.000000,1.480000,302.037994,15.512035,1.393198,43.581253,25.169834,0.000000,-0.734655,123.250000,0.022006,42.068640743739,-84.237097663875,291.26
0.460,0.017,-11.353937,-52.857601,2.496409,1.419333,-1.461446,4.000000,130.735275,13.298950,5583.000000,6.480000,3.132000,37.500000,856.000000,892.400024,0.507000,0.017800,0.009000,0.009000,0.009000,0.009000,0.039000,1.659400,0.042000,129.600006,119.199997,125.800003,129.199997,13.200000,82.580002,181.579987,68.000000,68.000000,25.016405,9.000000,-0.606986,0.098530,-0.784746,-83.841652,-25.571430,291.000000,1.480000,302.631378,15.535188,1.393198,43.727505,25.219284,0.000000,-0.889573,124.400002,0.022190,42.068640959590,-84.237098987776,291.26
0.470,0.017,-12.574634,-56.519688,2.417097,1.301066,-1.784895,4.000000,130.735275,13.298950,5594.000000,6.460000,3.134000,37.600002,856.000000,891.799988,0.507000,0.017600,0.009000,0.009000,0.009000,0.009000,0.039000,1.663300,0.042000,129.699997,121.400002,126.099998,129.399994,13.200000,82.580002,181.579987,68.000000,68.000000,25.053688,9.000000,-0.611383,0.092858,-0.779017,-84.180847,-25.715816,291.000000,1.480000,303.224792,15.558340,1.393198,43.873753,25.268734,0.000000,-1.044491,125.550003,0.022374,42.068641175440,-84.237100311677,291.26
0.480,0.017,-7.691850,-46.754120,2.531052,1.275370,-2.174333,4.000000,130.735275,13.298950,5605.000000,6.440000,3.136000,37.700001,856.000000,891.200012,0.507000,0.017400,0.009000,0.009000,0.009000,0.009000,0.039000,1.667200,0.042000,129.800003,123.599998,126.400002,129.600006,13.200000,82.580002,181.579987,68.000000,68.000000,25.090969,9.000000,-0.615781,0.087186,-0.773287,-84.520035,-25.860201,291.000000,1.480000,303.818176,15.581491,1.393198,44.020004,25.318184,0.000000,-1.199409,126.699997,0.022558,42.068641391291,-84.237101635577,291.26
0.490,0.018,-4.640110,-41.260990,2.817167,1.321361,-2.514982,4.000000,130.735275,13.298950,5616.000000,6.420000,3.138000,37.800003,856.000000,890.599976,0.507000,0.017200,0.009000,0.009000,0.009000,0.009000,0.039000,1.671100,0.042000,129.899994,125.800003,126.699997,129.800003,13.200000,82.580002,181.579987,68.000000,68.000000,25.128250,9.000000,-0.620179,0.081514,-0.767558,-84.859222,-26.004585,291.000000,1.480000,304.411591,15.604644,1.393198,44.166252,25.367632,0.000000,-1.354328,127.849998,0.022741,42.068641607142,-84.237102959478,291.26
0.500,0.018,-4.640110,-49.195511,3.005185,1.276816,-2.531107,4.000000,130.735275,13.298950,5627.000000,6.400000,3.140000,37.900002,856.000000,890.000000,0.507000,0.017000,0.009000,0.009000,0.009000,0.009000,0.039000,1.675000,0.042000,130.000000,128.000000,127.000000,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.165533,9.000000,-0.624576,0.075842,-0.761828,-85.198418,-26.148972,291.000000,1.480000,305.004974,15.627796,1.393198,44.312504,25.417082,0.000000,-1.509246,129.000000,0.022925,42.068641822993,-84.237104283378,291.25
0.510,0.018,0.242674,-49.195511,2.948548,1.183923,-2.112380,4.000000,130.735275,13.298950,5629.799805,6.340000,3.136000,37.920002,856.000000,888.799988,0.507000,0.016700,0.009000,0.009000,0.009000,0.009000,0.039000,1.677900,0.042000,130.199997,128.399994,126.900002,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.196602,9.100000,-0.629483,0.069341,-0.758390,-85.543335,-26.339193,291.000000,1.481000,304.886292,15.647090,1.393198,44.421253,25.407192,0.000000,-1.319421,129.300003,0.022940,42.068642038844,-84.237105607279,291.25
0.520,0.019,0.242674,-47.974815,2.757160,1.216620,-1.572492,4.000000,130.735275,13.298950,5632.600098,6.280000,3.132000,37.940002,856.000000,887.599976,0.507000,0.016400,0.009000,0.009000,0.009000,0.009000,0.039000,1.680800,0.042000,130.399994,128.800003,126.800003,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.227671,9.200000,-0.634391,0.062840,-0.754953,-85.888260,-26.529415,291.000000,1.482000,304.767609,15.666384,1.393198,44.530003,25.397303,0.000000,-1.129597,129.600006,0.022956,42.068642254694,-84.237106931180,291.25
0.530,0.019,-5.860806,-50.416210,2.569240,1.357803,-1.344936,4.000000,130.735275,13.298950,5635.399902,6.220000,3.128000,37.959999,856.000000,886.400024,0.507000,0.016100,0.009000,0.009000,0.009000,0.009000,0.039000,1.683700,0.042000,130.600006,129.199997,126.699997,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.258739,9.300000,-0.639298,0.056339,-0.751515,-86.233177,-26.719637,291.000000,1.483000,304.648926,15.685677,1.393198,44.638756,25.387411,0.000000,-0.939773,129.899994,0.022971,42.068642470545,-84.237108255080,291.25
0.540,0.020,-9.522894,-54.078297,2.446220,1.452720,-1.528701,4.000000,130.735275,13.298950,5638.200195,6.160000,3.124000,37.980000,856.000000,885.200012,0.507000,0.015800,0.009000,0.009000,0.009000,0.009000,0.039000,1.686600,0.042000,130.800003,129.600006,126.599998,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.289808,9.400000,-0.644206,0.049839,-0.748077,-86.578102,-26.909859,291.000000,1.484000,304.530243,15.704970,1.393198,44.747505,25.377522,0.000000,-0.749948,130.199997,0.022986,42.068642686396,-84.237109578981,291.25
0.550,0.020,-5.860806,-47.364468,2.420779,1.456607,-1.880121,4.000000,130.735275,13.298950,5641.000000,6.100000,3.120000,38.000000,856.000000,884.000000,0.507000,0.015500,0.009000,0.009000,0.009000,0.009000,0.039000,1.689500,0.042000,131.000000,130.000000,126.500000,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.320877,9.500000,-0.649113,0.043338,-0.744639,-86.923019,-27.100082,291.000000,1.485000,304.411560,15.724264,1.393198,44.856255,25.367632,0.000000,-0.560124,130.500000,0.023001,42.068642902247,-84.237110902882,291.24
0.560,0.020,-2.809066,-46.143772,2.474424,1.413772,-2.236939,4.000000,130.735275,13.298950,5656.799805,5.940000,3.116000,38.139999,856.000000,883.400024,0.507000,0.015200,0.009000,0.009000,0.009000,0.009000,0.039000,1.692400,0.042000,131.199997,130.399994,126.400002,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.351944,9.600000,-0.654020,0.036837,-0.741202,-87.267937,-27.290304,291.000000,1.486000,304.292908,15.743558,1.393198,44.965004,25.357742,0.000000,-0.370300,130.800003,0.023016,42.068643118097,-84.237112226782,291.24
0.570,0.021,-2.809066,-49.805862,2.509902,1.346797,-2.671552,4.000000,130.735275,13.298950,5672.600098,5.780000,3.112000,38.279999,856.000000,882.799988,0.507000,0.014900,0.009000,0.009000,0.009000,0.009000,0.039000,1.695300,0.042000,131.399994,130.800003,126.300003,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.383013,9.700000,-0.658928,0.030337,-0.737764,-87.612862,-27.480526,291.000000,1.487000,304.174225,15.762852,1.393198,45.073753,25.347853,0.000000,-0.180475,131.100006,0.023031,42.068643310132,-84.237113557658,291.24
0.580,0.021,-4.640110,-49.195511,2.496840,1.305072,-3.094075,4.000000,130.735275,13.298950,5688.399902,5.620000,3.108000,38.420002,856.000000,882.200012,0.507000,0.014600,0.009000,0.009000,0.009000,0.009000,0.039000,1.698200,0.042000,131.600006,131.199997,126.199997,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.414082,9.800000,-0.663835,0.023836,-0.734326,-87.957779,-27.670748,291.000000,1.488000,304.055542,15.782145,1.393198,45.182507,25.337961,0.000000,0.009349,131.399994,0.023047,42.068643466441,-84.237114898997,291.24
0.590,0.021,-3.419414,-49.805862,2.569705,1.356848,-3.123885,4.000000,130.735275,13.298950,5704.200195,5.460000,3.104000,38.560001,856.000000,881.599976,0.507000,0.014300,0.009000,0.009000,0.009000,0.009000,0.039000,1.701100,0.042000,131.800003,131.600006,126.099998,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.445150,9.900000,-0.668742,0.017335,-0.730888,-88.302704,-27.860970,291.000000,1.489000,303.936859,15.801438,1.393198,45.291256,25.328072,0.000000,0.199173,131.699997,0.023062,42.068643622750,-84.237116240336,291.24
0.600,0.022,1.463370,-41.260990,2.791307,1.433186,-2.632375,4.000000,130.735275,13.298950,5720.000000,5.300000,3.100000,38.700001,856.000000,881.000000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.704000,0.042000,132.000000,132.000000,126.000000,130.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.476219,10.000000,-0.673650,0.010835,-0.727451,-88.647621,-28.051191,291.000000,1.490000,303.818176,15.820732,1.393198,45.400005,25.318182,0.000000,0.388998,132.000000,0.023077,42.068643779059,-84.237117581674,291.23
0.610,0.022,1.463370,-36.378204,2.950655,1.361230,-1.998691,4.000000,130.735275,13.298950,5731.000000,5.200000,3.098000,38.820000,856.000000,879.200012,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.706700,0.042000,132.399994,132.100006,126.199997,130.399994,13.200000,82.580002,181.579987,68.000000,68.000000,25.463791,10.000000,-0.679067,0.003888,-0.727451,-89.000565,-28.291834,291.000000,1.490000,304.530243,15.813015,1.393198,45.501255,25.377522,0.000000,0.565908,132.250000,0.023101,42.068643935368,-84.237118923013,291.23
0.620,0.023,-2.198718,-38.819595,2.817399,1.161799,-1.580970,4.000000,130.735275,13.298950,5742.000000,5.100000,3.096000,38.939999,856.000000,877.400024,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.709400,0.042000,132.800003,132.199997,126.400002,130.800003,13.200000,82.580002,181.579987,68.000000,68.000000,25.451365,10.000000,-0.684484,-0.003059,-0.727451,-89.353508,-28.532476,291.000000,1.490000,305.242340,15.805297,1.393198,45.602505,25.436861,0.000000,0.742819,132.500000,0.023126,42.068644091677,-84.237120264352,291.23
0.630,0.023,-4.029761,-40.040291,2.497333,1.096564,-1.359515,4.000000,130.735275,13.298950,5753.000000,5.000000,3.094000,39.060001,856.000000,875.599976,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.712100,0.042000,133.199997,132.300003,126.599998,131.199997,13.200000,82.580002,181.579987,68.000000,68.000000,25.438936,10.000000,-0.689902,-0.010006,-0.727451,-89.706444,-28.773117,291.000000,1.490000,305.954407,15.797580,1.393198,45.703754,25.496201,0.000000,0.919730,132.750000,0.023151,42.068644247987,-84.237121605691,291.23
0.640,0.023,-5.250458,-45.533424,2.325972,1.273710,-1.226364,4.000000,130.735275,13.298950,5764.000000,4.900000,3.092000,39.180000,856.000000,873.799988,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.714800,0.042000,133.600006,132.399994,126.800003,131.600006,13.200000,82.580002,181.579987,68.000000,68.000000,25.426510,10.000000,-0.695319,-0.016953,-0.727451,-90.059387,-29.013760,291.000000,1.490000,306.666473,15.789862,1.393198,45.805004,25.555540,0.000000,1.096641,133.000000,0.023175,42.068644404296,-84.237122947029,291.23
0.650,0.024,-7.081501,-49.195511,2.410330,1.461100,-1.200625,4.000000,130.735275,13.298950,5775.000000,4.800000,3.090000,39.299999,856.000000,872.000000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.717500,0.042000,134.000000,132.500000,127.000000,132.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.414082,10.000000,-0.700736,-0.023899,-0.727451,-90.412331,-29.254402,291.000000,1.490000,307.378540,15.782145,1.393198,45.906258,25.614880,0.000000,1.273552,133.250000,0.023200,42.068644560605,-84.237124288368,291.23
0.660,0.024,-8.302197,-51.026558,2.508838,1.449256,-1.335521,4.000000,130.735275,13.298950,5773.399902,4.580000,3.080000,39.160000,856.000000,871.599976,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.720200,0.042000,134.399994,132.600006,127.199997,132.399994,13.200000,82.580002,181.579987,68.000000,68.000000,25.401653,10.000000,-0.706153,-0.030846,-0.727451,-90.765274,-29.495045,291.000000,1.490000,308.090637,15.774427,1.393198,46.007507,25.674219,0.000000,1.450463,133.500000,0.023224,42.068644716914,-84.237125629707,291.22
0.670,0.024,-9.522894,-54.078297,2.465720,1.335159,-1.650038,4.000000,130.735275,13.298950,5771.799805,4.360000,3.070000,39.020000,856.000000,871.200012,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.722900,0.042000,134.800003,132.699997,127.400002,132.800003,13.200000,82.580002,181.579987,68.000000,68.000000,25.389227,10.000000,-0.711571,-0.037793,-0.727451,-91.118217,-29.735687,291.000000,1.490000,308.802704,15.766709,1.393198,46.108757,25.733559,0.000000,1.627373,133.750000,0.023249,42.068644873223,-84.237126971045,291.22
0.680,0.025,-9.522894,-54.078297,2.443456,1.309515,-2.055059,4.000000,130.735275,13.298950,5770.200195,4.140000,3.060000,38.880001,856.000000,870.799988,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.725600,0.042000,135.199997,132.800003,127.599998,133.199997,13.200000,82.580002,181.579987,68.000000,68.000000,25.376799,10.000000,-0.716988,-0.044740,-0.727451,-91.471153,-29.976328,291.000000,1.490000,309.514771,15.758992,1.393198,46.210007,25.792898,0.000000,1.804284,134.000000,0.023273,42.068645029532,-84.237128312384,291.22
0.690,0.025,-8.912545,-52.247253,2.550917,1.373082,-2.368090,4.000000,130.735275,13.298950,5768.600098,3.920000,3.050000,38.740002,856.000000,870.400024,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.728300,0.042000,135.600006,132.899994,127.800003,133.600006,13.200000,82.580002,181.579987,68.000000,68.000000,25.364372,10.000000,-0.722405,-0.051687,-0.727451,-91.824097,-30.216970,291.000000,1.490000,310.226868,15.751274,1.393198,46.311256,25.852238,0.000000,1.981195,134.250000,0.023298,42.068645185842,-84.237129653723,291.22
0.700,0.026,-5.860806,-50.416210,2.629393,1.372410,-2.573109,4.000000,130.735275,13.298950,5767.000000,3.700000,3.040000,38.600002,856.000000,870.000000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.731000,0.042000,136.000000,133.000000,128.000000,134.000000,13.200000,82.580002,181.579987,68.000000,68.000000,25.351944,10.000000,-0.727822,-0.058634,-0.727451,-92.177040,-30.457613,291.000000,1.490000,310.938934,15.743557,1.393198,46.412506,25.911577,0.000000,2.158106,134.500000,0.023322,42.068645282065,-84.237130998788,291.22
0.710,0.026,-5.250458,-46.754120,2.583450,1.242366,-2.870611,4.000000,130.735275,13.298950,5786.000000,3.400000,3.028000,37.220001,856.000000,867.400024,0.507200,0.014000,0.009000,0.009000,0.009000,0.009000,0.039100,1.733200,0.042000,136.100006,132.899994,127.900002,134.100006,13.200000,82.580002,181.579987,68.000000,68.000000,25.339518,10.000000,-0.733431,-0.065007,-0.725159,-92.539146,-30.750967,291.000000,1.490000,311.354309,15.735840,1.393198,46.495007,25.946192,0.000000,2.139920,134.500000,0.023324,42.068645371612,-84.237132344268,291.21
